FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 2

Participación en campos académicos
Indicador 2: Selectividad de carreras masculinizadas y feminizadas por sexo
I2_a: Tasa de selectividad de grupos de programas masculinizados total
COLUMNAS: Indicador | Grupo de Programas | Clasificación | Nivel | Año | Tasa de selectividad total | Fuente
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.35 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.51 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.56 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.56 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.32 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 1.07 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 1.08 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 4.33 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.46 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.41 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.48 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.63 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 2.56 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 2.75 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.38 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.45 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.6 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.5 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 2.12 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 1.67 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 1.11 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 1.64 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 2.62 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 2.67 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 2.75 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.9 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.07 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.54 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.59 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.62 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.6 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.68 | Fuente: SUNEDU
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 2.5 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 1 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 1.3 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 1.49 | Fuente: DTI
